00	a354W0000046TjUQAU	#001: Whit's Flop
01	a354W0000046TwmQAE	#001a: BONUS! Clip of Family Portraits episode - the show that inspired ...
02	a354W0000046TwrQAE	#002: The Life of the Party
03	a354W0000046TwwQAE	#003: Lights Out at Whit's End
04	a354W0000046Tc0QAE	#004: Connie Comes to Town
05	a354W0000046Tx1QAE	#004a: BONUS! Actress Katie Leigh on the creation of Connie
06	a354W0000046Tx6QAE	#005: Gifts for Madge and Guy
07	a354W0000046TxBQAU	#005a: BONUS! Officer Harley featurette
08	a354W0000046TxGQAU	#006: The Day After Christmas
09	a354W0000046TY7QAM	#007: Promises, Promises
0a	a354W0000046TxLQAU	#008: Dental Dilemma
0b	a354W0000046TxQQAU	#009: Doing Unto Others
0c	a354W0000046TxVQAU	#010: Nothing to Fear
0d	a354W0000046TxaQAE	#010a: BONUS! Naming John Avery Whittaker
0e	a354W0000046TxfQAE	#011: Addictions Can Be Habit-Forming
0f	a354W0000046TxkQAE	#012: The Tangled Web
0g	a354W0000046TxpQAE	#013: Bobby's Valentine
0h	a354W0000046TxuQAE	#014: Missed It By That Much
0i	a354W0000046TxzQAE	#015: My Brother's Keeper
0j	a354W0000046Ty4QAE	#016: No Stupid Questions
0k	a354W0000046Ty9QAE	#017: A Member of the Family, Part 1 of 2
0l	a354W0000046TyEQAU	#018: A Member of the Family, Part 2 of 2
0m	a354W0000046TyJQAU	#018a: BONUS! Paul McCusker talks about Whit's family
0n	a354W0000046TyOQAU	#019: Recollections
0o	a354W0000046TyTQAU	#020: Mike Makes Right
0p	a354W0000046TyYQAU	#021: The Case of the Missing Train Car
0q	a354W0000046TydQAE	#022: A Simple Addition
0r	a354W0000046TyiQAE	#023: The Quality of Mercy
0s	a354W0000046TynQAE	#024: Gotcha!
0t	a354W0000046Tn2QAE	#025: Harley Takes the Case, Part 1 of 2
0u	a354W0000046TysQAE	#026: Harley Takes the Case, Part 2 of 2
0v	a354W0000046TyxQAE	#027: A Change of Hart
0w	a354W0000046Tz2QAE	#028: The Price of Freedom
0x	a354W0000046Tz7QAE	#029: Rumor Has It
0y	a354W0000046TzCQAU	#030: Honor Thy Parents
0z	a354W0000046TzHQAU	#031: Family Vacation, Part 1 of 2
0A	a354W0000046TzMQAU	#032: Family Vacation, Part 2 of 2
0B	a354W0000046TzRQAU	#032a: BONUS! How the Barclay family got their name
0C	a354W0000046TzWQAU	#033: The Day Independence Came
0D	a354W0000046TyUQAU	#034: Stormy Weather
0E	a354W0000046TzbQAE	#034a: BONUS! Chris answers your questions
0F	a354W0000046TzgQAE	#035: V.B.S. Blues
